3.000089898705482483e-03 5.874190926551818848e-01 3.977327942848205566e-01
6.000080145895481110e-03 5.768058300018310547e-01 5.803868770599365234e-01
9.000070393085479736e-03 5.942515134811401367e-01 7.704331874847412109e-01
1.200005970895290375e-02 6.422436237335205078e-01 6.807029247283935547e-01
1.500004995614290237e-02 6.768981814384460449e-01 6.527932286262512207e-01
1.800004020333290100e-02 6.579197049140930176e-01 6.885532140731811523e-01
2.100002951920032501e-02 6.688972115516662598e-01 6.722110509872436523e-01
2.400002069771289825e-02 6.653657555580139160e-01 6.789640188217163086e-01
2.700001001358032227e-02 6.736680269241333008e-01 6.767764091491699219e-01
2.999999932944774628e-02 6.708970665931701660e-01 6.962452530860900879e-01
2.999999932944774628e-02 6.715123653411865234e-01 6.780697703361511230e-01 5.923611521720886230e-01
2.981533110141754150e-02 6.705277562141418457e-01 6.816725134849548340e-01 5.923611521720886230e-01
2.926587313413619995e-02 6.733879446983337402e-01 6.790679693222045898e-01 5.923611521720886230e-01
2.836515195667743683e-02 6.711561679840087891e-01 6.772211790084838867e-01 5.923611521720886230e-01
2.713534981012344360e-02 6.695104241371154785e-01 6.785292625427246094e-01 5.923611521720886230e-01
2.560674771666526794e-02 6.753541827201843262e-01 6.760829687118530273e-01 5.923611521720886230e-01
2.381698414683341980e-02 6.708238720893859863e-01 6.742206215858459473e-01 5.923611521720886230e-01
2.181013114750385284e-02 6.699850559234619141e-01 6.809524297714233398e-01 5.923611521720886230e-01
1.963560096919536591e-02 6.704272627830505371e-01 6.759342551231384277e-01 5.923611521720886230e-01
1.734693907201290131e-02 6.706125140190124512e-01 6.748384833335876465e-01 5.923611521720886230e-01
1.500049978494644165e-02 6.692178249359130859e-01 6.749641299247741699e-01 5.923611521720886230e-01
1.265406142920255661e-02 6.679369211196899414e-01 6.709792017936706543e-01 5.923611521720886230e-01
1.036539953202009201e-02 6.710559129714965820e-01 6.752634644508361816e-01 5.923611521720886230e-01
8.190869353711605072e-03 6.670535206794738770e-01 6.726530194282531738e-01 5.923611521720886230e-01
6.184014957398176193e-03 6.656746864318847656e-01 6.742243170738220215e-01 5.923611521720886230e-01
4.394251853227615356e-03 6.694139242172241211e-01 6.736002564430236816e-01 5.923611521720886230e-01
2.865649526938796043e-03 6.697351932525634766e-01 6.721088290214538574e-01 5.923611521720886230e-01
1.635847613215446472e-03 6.650789976119995117e-01 6.644654273986816406e-01 5.923611521720886230e-01
7.351277745328843594e-04 6.567968726158142090e-01 6.604313850402832031e-01 5.923611521720886230e-01
1.856687304098159075e-04 6.499936580657958984e-01 6.561971902847290039e-01 5.923611521720886230e-01
9.999999974752427079e-07 6.449617743492126465e-01 6.561787724494934082e-01 5.923611521720886230e-01
1.022758897306630388e-05 6.460154652595520020e-01 6.559477448463439941e-01 5.923611521720886230e-01
3.768314127228222787e-05 6.452629566192626953e-01 6.551873683929443359e-01 5.923611521720886230e-01
